street Address,Street Suffix,City,state,zip,bedrooms,bathrooms,sqft,price,
731 Debra Lane,Court,Valdosta,Georgia,31605,2,6,4264.0,9089.23,
3085 8th Trail,Park,Pompano Beach,Florida,33069,6,2,1037.0,10862.95,
90666 Mitchell Plaza,Center,Miami,Florida,33175,9,2,3829.0,13961.95,
0 Dawn Court,Park,Atlanta,Georgia,30386,2,4,1322.0,22927.5,
75 Hoepker Way,Pass,Miami,Florida,33142,3,2,1915.0,33758.5,
7855 Buena Vista Drive,Way,Fort Myers,Florida,33994,2,5,3756.0,36763.21,
84 Paget Trail,Park,Ocala,Florida,34474,3,2,1459.0,36812.38,
252 Fremont Way,Street,Delray Beach,Florida,33448,4,2,3998.0,57409.58,
635 Northport Park,Street,Delray Beach,Florida,33448,6,2,2128.0,59847.79,
580 Mallory Center,Drive,Fort Lauderdale,Florida,33325,2,5,1303.0,66344.08,
215 Logan Way,Drive,Miami Beach,Florida,33141,7,2,3905.0,82628.01,
41411 Butternut Terrace,Place,Gainesville,Florida,32610,6,2,3209.0,93092.36,
729 Red Cloud Alley,Center,Fort Lauderdale,Florida,33305,2,6,1113.0,105276.16,
166 Vernon Alley,Trail,Duluth,Georgia,30195,4,2,3352.0,107113.87,
8670 Roth Street,Trail,Zephyrhills,Florida,33543,10,2,2950.0,116875.01,
6 Stoughton Alley,Place,Miami,Florida,33147,2,3,4034.0,117053.46,
57 5th Terrace,Parkway,Cumming,Georgia,30130,8,2,2981.0,138926.0,
91261 David Hill,Place,Tallahassee,Florida,32309,10,2,4067.0,139117.83,
7886 North Pass,Trail,Huntsville,Alabama,35810,2,6,1958.0,141062.96,
396 Jenna Hill,Plaza,Miami,Florida,33129,9,2,3061.0,155368.84,
